"CodeCity","NameCity"
1,"תל אביב"
2,"רמת גן"
3,"קרית אונו"
4,"גבעת שמואל"
5,"גני תקוה"
6,"פתח תקווה"
7,"ירושליים"
8,"חיפה"
9,"אילת"
10,"רחובות"
11,"טבריה"
12,"שהם"
13,"אשקלון"
14,"אשדוד"
15,"נצרת"
16,"דימונה"
17,"נהריה"
18,"הרצליה"
19,"ראשון לציון"
20,"חולון"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
